common_name,scientific_name,image_url,extract,iucn_code,iucn_label
Herring Gull,Larus argentatus,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/European_herring_gull_vocalizing_%2800170%29.jpg/330px-European_herring_gull_vocalizing_%2800170%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"The European herring gull or simply herring gull is a large gull, up to 66 cm (26 in) long. It breeds throughout the northern and western coasts of Europe. Some European herring gulls, especially those resident in colder areas, migrate farther south in winter, but many are permanent residents, such as in Ireland, Britain, Iceland, or on the North Sea shores. They have a varied diet, including fish, crustaceans, as well as some plants, and are also scavengers, consuming carrion and food left by or stolen from humans.",LC,Least Concern
Eurasian Wren,Troglodytes troglodytes,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Eurasian_wren_Franconville_02.jpg/330px-Eurasian_wren_Franconville_02.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"The Eurasian wren is a very small insectivorous bird and the only member of the wren family found in the Old World, specifically in Eurasia and Africa (Maghreb). In Anglophone Europe, it is commonly known simply as the wren. It has a very short tail which is often held erect, a short neck and a relatively long thin bill. It is russet brown above, paler buff-brown below, overall finely barred darker, and has a cream buff supercilium. The sexes are alike.",LC,Least Concern
Common Starling,Sturnus vulgaris,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/af/Common_starling_%28Sturnus_vulgaris%29_breeding_male_Marken.jpg/330px-Common_starling_%28Sturnus_vulgaris%29_breeding_male_Marken.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"The common starling, also known simply as the starling in Great Britain and Ireland, and as the European starling in North America, is a medium-sized passerine bird in the starling family, Sturnidae. It is about 20 cm (8 in) long and has glossy black plumage with a metallic sheen, which is speckled with white at some times of the year. The legs are pink and the bill is black in winter and yellow in summer; young birds have browner plumage than the adults. Its gift for mimicry has been noted in literature including the Mabinogion and the works of Pliny the Elder and William Shakespeare.",LC,Least Concern
Common Woodpigeon,Columba palumbus,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/33/Columba_palumbus_EM1B1397_%2827445478998%29.jpg/330px-Columba_palumbus_EM1B1397_%2827445478998%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"The common wood pigeon, also known simply as the wood pigeon, is a large pigeon native to the western Palearctic. It belongs to the genus Columba, which includes closely related species such as the rock dove. It has a flexible diet, feeding mainly on plant material, including cereals, and is therefore considered an agricultural pest. Wood pigeons are extensively hunted over much of their range, but this does not appear to have a major impact on their population numbers.",LC,Least Concern
Common Gull,Larus canus,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b1/Larus_canus_Common_Gull_in_Norway.jpg/330px-Larus_canus_Common_Gull_in_Norway.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"The common gull is a gull that breeds in cool temperate regions of the Palearctic from Iceland and Scotland east to Kamchatka in the Russian Far East. Most common gulls migrate further south in winter, reaching the Mediterranean Sea, the southern Caspian Sea, and the seas around China and Japan; northwest European populations are at least partly resident. The closely related short-billed gull was formerly often included in this species, which was then sometimes known collectively as ""mew gull"".",LC,Least Concern
European Shag,Gulosus aristotelis,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Shag_Phalacrocorax_aristotelis.jpg/330px-Shag_Phalacrocorax_aristotelis.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"The European shag or common shag is a species of cormorant. It is the only member of the monotypic genus Gulosus. It breeds around the rocky coasts of western and southern Europe, southwest Asia and north Africa, mainly wintering in its breeding range except for the northernmost birds. In Britain this seabird is usually referred to as simply the shag. The scientific genus name derives from the Latin for glutton. The species name aristotelis commemorates the Greek philosopher Aristotle.",LC,Least Concern
Ring-necked Parakeet,Psittacula krameri,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/69/African_Rose-ringed_Parakeet%2C_Tendaba%2C_Gambia_1.jpg/330px-African_Rose-ringed_Parakeet%2C_Tendaba%2C_Gambia_1.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"The rose-ringed parakeet, also known as the ring-necked parakeet, or colloquially as the Indian Ringneck, is a medium-sized parrot in the genus Psittacula, of the family Psittaculidae. It has a disjunct native range in tropical northern Africa and the Indian subcontinent, and is now introduced into many other parts of the world where populations have established themselves having been bred for the exotic pet trade and then escaped.",LC,Least Concern
Red-billed Chough,Pyrrhocorax pyrrhocorax,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Bran_goesgoch_Pyrrhocorax_pyrrhocorax.jpg/330px-Bran_goesgoch_Pyrrhocorax_pyrrhocorax.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"The red-billed chough, Cornish chough or simply chough is a bird in the crow family, one of only two species in the genus Pyrrhocorax. Its eight subspecies breed on mountains and coastal cliffs from the western coasts of Ireland and Britain east through southern Europe, North Africa and Middle East to Central Asia, India and China.",LC,Least Concern
Long-tailed Tit,Aegithalos caudatus,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4c/%D0%94%D0%BE%D0%B2%D0%B3%D0%BE%D1%85%D0%B2%D0%BE%D1%81%D1%82%D0%B0_2.jpg/330px-%D0%94%D0%BE%D0%B2%D0%B3%D0%BE%D1%85%D0%B2%D0%BE%D1%81%D1%82%D0%B0_2.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"The long-tailed tit or long-tailed bushtit is a common bird species belonging to the bushtit family found throughout Eurasia. An insectivore, it inhabits deciduous and mixed woodlands as well as scrub, heathland, farmland, parks and gardens. The plumage of this small long-tailed bird is predominantly black and white with varying amounts of pink and grey. Northern subspecies are paler and have completely white heads, lacking the large dark eyebrows of southern populations. It is a social bird that forms compact family flocks of six to seventeen individuals outside of the breeding season, when these flocks break up. It has a strong preference for nesting in scrub areas and often builds its nest in thorny bushes less than 3 metres above the ground.",LC,Least Concern
Ring-necked Pheasant,Phasianus colchicus,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f7/Phasianus_colchicus_Oulu_20200524_02.jpg/330px-Phasianus_colchicus_Oulu_20200524_02.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"The common pheasant, ring-necked pheasant, or blue-headed pheasant, is a bird in the pheasant family (Phasianidae). The genus name comes from Latin phasianus 'pheasant'. The species name colchicus is Latin for 'of Colchis', a country on the Black Sea where pheasants became known to Europeans. Although Phasianus was previously thought to be closely related to the genus Gallus, the genus of junglefowl and domesticated chickens, recent studies show that they are in different subfamilies, having diverged over 20 million years ago.",LC,Least Concern
Eurasian Magpie,Pica pica,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/eb/Eurasian_magpie_2024_03_03_02.jpg/330px-Eurasian_magpie_2024_03_03_02.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,"The Eurasian magpie or common magpie is a resident breeding bird throughout the northern part of the Eurasian continent. It is one of several birds in the crow family (corvids) that are designated as magpies, and it belongs to the Holarctic radiation of ""monochrome"" magpies. In Europe, the term ""magpie"" is used by English speakers as a synonym for the Eurasian magpie; the only other species of magpie in Europe is the Iberian magpie, which is restricted to the Iberian Peninsula. Despite sharing a name and similar colouration, they are not closely related to the Australian magpie, which is an artamid, only sharing the same clade (Corvides).",LC,Least Concern
