British (English) vernacular name,AviList international English name,Scientific name,Category,Codes,† BBRC species,‡ BBRC subspecies,SEQ
Hobby,Eurasian Hobby,Falco subbuteo,AF,,,,3590
Peregrine,Peregrine Falcon,Falco peregrinus,AEF,,,,3600
Gyr Falcon,Gyrfalcon,Falco rusticolus,AEF,†,,,3610
Ring-necked Parakeet,Rose-ringed Parakeet,Psittacula krameri,C1E*,,,,3620
Eastern Kingbird,,Tyrannus tyrannus,A,†,,,3630
Eastern Phoebe,,Sayornis phoebe,A,†,,,3640
Acadian Flycatcher,,Empidonax virescens,A,†,,,3650
Alder Flycatcher,,Empidonax alnorum,A,†,,,3660
Yellow-bellied Flycatcher,,Empidonax flaviventris,A,†,,,3670
Philadelphia Vireo,,Vireo philadelphicus,A,†,,,3680
Red-eyed Vireo,,Vireo olivaceus,A,†,,,3690
Yellow-throated Vireo,,Vireo flavifrons,A,†,,,3700
Golden Oriole,Eurasian Golden Oriole,Oriolus oriolus,A,,,,3710
Great Grey Shrike,,Lanius excubitor,AEF,‡,,,3720
Masked Shrike,,Lanius nubicus,A,†,,,3730
Lesser Grey Shrike,,Lanius minor,A,†,,,3740
Woodchat Shrike,,Lanius senator,A,‡,,,3750
Daurian Shrike,Isabelline Shrike,Lanius isabellinus,A,†,,,3760
Red-backed Shrike,,Lanius collurio,AF,,,,3770
Turkestan Shrike,Red-tailed Shrike,Lanius phoenicuroides,A,†,,,3780
Long-tailed Shrike,,Lanius schach,A,†,,,3790
Brown Shrike,,Lanius cristatus,A,†,,,3800
Chough,Red-billed Chough,Pyrrhocorax pyrrhocorax,AE*F,,,,3810
Jay,Eurasian Jay,Garrulus glandarius,AF,,,,3820
Magpie,Eurasian Magpie,Pica pica,AF,,,,3830
Nutcracker,Northern Nutcracker,Nucifraga caryocatactes,AF,†,,,3840
Jackdaw,Western Jackdaw,Coloeus monedula,AF,,,,3850
Rook,,Corvus frugilegus,AF,,,,3860
Raven,Northern Raven,Corvus corax,AF,,,,3870
Carrion Crow,,Corvus corone,AF,,,,3880
