British (English) vernacular name,AviList international English name,Scientific name,Category,Codes,† BBRC species,‡ BBRC subspecies,SEQ
Red-breasted Merganser,,Mergus serrator,AF,,,,380
Goosander,Common Merganser,Mergus merganser,AF,,,,390
Red-crested Pochard,,Netta rufina,AC2E*F,,,,400
Ferruginous Duck,,Aythya nyroca,AE,†,,,410
Pochard,Common Pochard,Aythya ferina,AE*F,,,,420
Canvasback,,Aythya valisineria,AE,†,,,430
Ring-necked Duck,,Aythya collaris,AE,,,,440
Redhead,,Aythya americana,AE,†,,,450
Tufted Duck,,Aythya fuligula,AF,,,,460
Lesser Scaup,,Aythya affinis,A,†,,,470
Scaup,Greater Scaup,Aythya marila,AF,,,,480
Baikal Teal,,Sibirionetta formosa,AE,†,,,490
Garganey,,Spatula querquedula,AF,,,,500
Blue-winged Teal,,Spatula discors,AE*,†,,,510
Shoveler,Northern Shoveler,Spatula clypeata,AF,,,,520
Falcated Duck,,Mareca falcata,AE,†,,,530
Gadwall,,Mareca strepera,AC2E*F,,,,540
Wigeon,Eurasian Wigeon,Mareca penelope,AE*F,,,,550
American Wigeon,,Mareca americana,AE,,,,560
Mallard,,Anas platyrhynchos,AC2C4E*F,,,,570
Black Duck,American Black Duck,Anas rubripes,A,†,,,580
Pintail,Northern Pintail,Anas acuta,AEF,,,,590
Teal,Green-winged Teal,Anas crecca,AF,,,,600
Ptarmigan,Rock Ptarmigan,Lagopus muta,AF,,,,610
Red Grouse,,Lagopus scotica,AF,,,,620
Capercaillie,Western Capercaillie,Tetrao urogallus,C3E*F,,,,630
Black Grouse,,Lyrurus tetrix,AEF,,,,640
Grey Partridge,,Perdix perdix,AC2E*F,,,,650
Golden Pheasant,,Chrysolophus pictus,C6E*,,,,660
Lady Amherst's Pheasant,,Chrysolophus amherstiae,C6E*,,,,670
Pheasant,Common Pheasant,Phasianus colchicus,C1E*F,,,,680
Quail,Common Quail,Coturnix coturnix,AE*F,,,,690
Red-legged Partridge,,Alectoris rufa,C1E*F,,,,700
Little Grebe,,Tachybaptus ruficollis,AF,,,,710
Pied-billed Grebe,,Podilymbus podiceps,A,†,,,720
Slavonian Grebe,Horned Grebe,Podiceps auritus,AF,,,,730
Red-necked Grebe,,Podiceps grisegena,AF,‡,,,740
Great Crested Grebe,,Podiceps cristatus,AF,,,,750
Black-necked Grebe,,Podiceps nigricollis,A,,,,760
Great Bustard,,Otis tarda,AE*F,†,,,770
Asian Houbara,,Chlamydotis macqueenii,A,†,,,780
Little Bustard,,Tetrax tetrax,AF,†,,,790
Great Spotted Cuckoo,,Clamator glandarius,A,†,,,800
Yellow-billed Cuckoo,,Coccyzus americanus,A,†,,,810
Black-billed Cuckoo,,Coccyzus erythropthalmus,A,†,,,820
Cuckoo,Common Cuckoo,Cuculus canorus,AF,,,,830
Pallas's Sandgrouse,,Syrrhaptes paradoxus,A,†,,,840
Mourning Dove,,Zenaida macroura,A,†,,,850
Oriental Turtle Dove,,Streptopelia orientalis,A,†,,,860
Turtle Dove,European Turtle Dove,Streptopelia turtur,AF,,,,870
Collared Dove,Eurasian Collared Dove,Streptopelia decaocto,A,,,,880
Woodpigeon,Common Wood Pigeon,Columba palumbus,AF,,,,890
Rock Dove,,Columba livia,AC4E*F,,,,900
Stock Dove,,Columba oenas,AF,,,,910
Sandhill Crane,,Antigone canadensis,A,†,,,920
Common Crane,,Grus grus,AE*F,,,,930
Water Rail,,Rallus aquaticus,AF,,,,940
Corncrake,Corn Crake,Crex crex,AE*F,,,,950
Sora,,Porzana carolina,A,†,,,960
Spotted Crake,,Porzana porzana,AF,,,,970
Moorhen,Common Moorhen,Gallinula chloropus,AF,,,,980
Coot,Eurasian Coot,Fulica atra,AF,,,,990
American Coot,,Fulica americana,A,†,,,1000
Allen's Gallinule,,Porphyrio alleni,A,†,,,1010
American Purple Gallinule,Purple Gallinule,Porphyrio martinica,A,†,,,1020
Purple Swamphen,,Porphyrio porphyrio,AE,†,,,1030
Little Crake,,Zapornia parva,A,†,,,1040
Baillon's Crake,,Zapornia pusilla,A,†,,,1050
Stone-curlew,Eurasian Stone-curlew,Burhinus oedicnemus,AF,,,,1060
Avocet,Pied Avocet,Recurvirostra avosetta,AEF,,,,1070
Black-winged Stilt,,Himantopus himantopus,A,,,,1080
Oystercatcher,Eurasian Oystercatcher,Haematopus ostralegus,AF,,,,1090
Grey Plover,,Pluvialis squatarola,AF,,,,1100
Golden Plover,European Golden Plover,Pluvialis apricaria,AF,,,,1110
American Golden Plover,,Pluvialis dominica,A,,,,1120
Pacific Golden Plover,,Pluvialis fulva,A,†,,,1130
Dotterel,Eurasian Dotterel,Eudromias morinellus,A,,,,1140
Killdeer,,Charadrius vociferus,A,†,,,1150
Ringed Plover,Common Ringed Plover,Charadrius hiaticula,AF,,,,1160
Semipalmated Plover,,Charadrius semipalmatus,A,†,,,1170
Little Ringed Plover,,Thinornis dubius,A,,,,1180
Lapwing,Northern Lapwing,Vanellus vanellus,AF,,,,1190
Grey-headed Lapwing,,Vanellus cinereus,A,†,,,1200
Sociable Lapwing,,Vanellus gregarius,A,†,,,1210
White-tailed Lapwing,,Vanellus leucurus,A,†,,,1220
Caspian Plover,,Anarhynchus asiaticus,A,†,,,1230
Tibetan Sand Plover,,Anarhynchus atrifrons,A,†,,,1240
Siberian Sand Plover,,Anarhynchus mongolus,A,†,,,1250
Greater Sand Plover,,Anarhynchus leschenaultii,A,†,,,1260
Kentish Plover,,Anarhynchus alexandrinus,A,†,,,1270
Upland Sandpiper,,Bartramia longicauda,A,†,,,1280
Eskimo Curlew,,Numenius borealis,B,† Possibly Extinct,,,1290
Little Whimbrel,Little Curlew,Numenius minutus,A,†,,,1300
Hudsonian Whimbrel,,Numenius hudsonicus,A,†,,,1310
Whimbrel,Eurasian Whimbrel,Numenius phaeopus,AF,,,,1320
Curlew,Eurasian Curlew,Numenius arquata,AF,,,,1330
Bar-tailed Godwit,,Limosa lapponica,AF,,,,1340
Black-tailed Godwit,,Limosa limosa,AF,,,,1350
Hudsonian Godwit,,Limosa haemastica,A,†,,,1360
Long-billed Dowitcher,,Limnodromus scolopaceus,A,†,,,1370
Short-billed Dowitcher,,Limnodromus griseus,A,†,,,1380
Jack Snipe,,Lymnocryptes minimus,AF,,,,1390
Woodcock,Eurasian Woodcock,Scolopax rusticola,AF,,,,1400
Great Snipe,,Gallinago media,AF,†,,,1410
Wilson's Snipe,,Gallinago delicata,A,†,,,1420
Snipe,Common Snipe,Gallinago gallinago,AF,,,,1430
Terek Sandpiper,,Xenus cinereus,A,†,,,1440
Common Sandpiper,,Actitis hypoleucos,A,,,,1450
Spotted Sandpiper,,Actitis macularius,A,†,,,1460
Wilson's Phalarope,,Phalaropus tricolor,A,†,,,1470
Grey Phalarope,Red Phalarope,Phalaropus fulicarius,AF,,,,1480
Red-necked Phalarope,,Phalaropus lobatus,AF,,,,1490
Green Sandpiper,,Tringa ochropus,AF,,,,1500
Solitary Sandpiper,,Tringa solitaria,A,†,,,1510
Grey-tailed Tattler,,Tringa brevipes,A,†,,,1520
Marsh Sandpiper,,Tringa stagnatilis,A,†,,,1530
Wood Sandpiper,,Tringa glareola,A,,,,1540
Redshank,Common Redshank,Tringa totanus,AF,,,,1550
Lesser Yellowlegs,,Tringa flavipes,A,,,,1560
Spotted Redshank,,Tringa erythropus,AF,,,,1570
Greenshank,Common Greenshank,Tringa nebularia,AF,,,,1580
Greater Yellowlegs,,Tringa melanoleuca,A,†,,,1590
Turnstone,Ruddy Turnstone,Arenaria interpres,AF,,,,1600
Knot,Red Knot,Calidris canutus,AF,,,,1610
Great Knot,,Calidris tenuirostris,A,†,,,1620
Ruff,,Calidris pugnax,AF,,,,1630
Sharp-tailed Sandpiper,,Calidris acuminata,A,†,,,1640
Broad-billed Sandpiper,,Calidris falcinellus,A,†,,,1650
Curlew Sandpiper,,Calidris ferruginea,A,,,,1660
Stilt Sandpiper,,Calidris himantopus,A,†,,,1670
Red-necked Stint,,Calidris ruficollis,A,†,,,1680
Temminck's Stint,,Calidris temminckii,A,,,,1690
Long-toed Stint,,Calidris subminuta,A,†,,,1700
Buff-breasted Sandpiper,,Calidris subruficollis,A,,,,1710
Sanderling,,Calidris alba,AF,,,,1720
Dunlin,,Calidris alpina,AF,,,,1730
Purple Sandpiper,,Calidris maritima,A,,,,1740
Baird's Sandpiper,,Calidris bairdii,A,†,,,1750
Pectoral Sandpiper,,Calidris melanotos,A,,,,1760
Semipalmated Sandpiper,,Calidris pusilla,A,†,,,1770
Western Sandpiper,,Calidris mauri,A,†,,,1780
Little Stint,,Calidris minuta,A,,,,1790
Least Sandpiper,,Calidris minutilla,A,†,,,1800
White-rumped Sandpiper,,Calidris fuscicollis,A,,,,1810
Cream-coloured Courser,Cream-colored Courser,Cursorius cursor,A,†,,,1820
Oriental Pratincole,,Glareola maldivarum,A,†,,,1830
Black-winged Pratincole,,Glareola nordmanni,A,†,,,1840
Collared Pratincole,,Glareola pratincola,A,†,,,1850
Arctic Skua,Parasitic Jaeger,Stercorarius parasiticus,AF,,,,1860
Long-tailed Skua,Long-tailed Jaeger,Stercorarius longicaudus,AF,,,,1870
Pomarine Skua,Pomarine Jaeger,Stercorarius pomarinus,AF,,,,1880
Great Skua,,Stercorarius skua,AF,,,,1890
South Polar Skua,,Stercorarius maccormicki,A,†,,,1900
Tufted Puffin,,Fratercula cirrhata,A,†,,,1910
Puffin,Atlantic Puffin,Fratercula arctica,AF,,,,1920
Ancient Murrelet,,Synthliboramphus antiquus,A,†,,,1930
Long-billed Murrelet,,Brachyramphus perdix,A,†,,,1940
Black Guillemot,,Cepphus grylle,AF,‡,,,1950
Razorbill,,Alca torda,AF,,,,1960
Great Auk,,Pinguinus impennis,BF,Extinct,,,1970
Little Auk,,Alle alle,AF,‡,,,1980
Brünnich's Guillemot,Thick-billed Murre,Uria lomvia,A,†,,,1990
Common Guillemot,Common Murre,Uria aalge,AF,,,,2000
Aleutian Tern,,Onychoprion aleuticus,A,†,,,2010
Sooty Tern,,Onychoprion fuscatus,A,†,,,2020
Bridled Tern,,Onychoprion anaethetus,A,†,,,2030
Little Tern,,Sternula albifrons,A,,,,2040
Least Tern,,Sternula antillarum,A,†,,,2050
Caspian Tern,,Hydroprogne caspia,A,†,,,2060
Gull-billed Tern,,Gelochelidon nilotica,A,†,,,2070
Whiskered Tern,,Chlidonias hybrida,A,†,,,2080
White-winged Black Tern,White-winged Tern,Chlidonias leucopterus,A,,,,2090
Black Tern,,Chlidonias niger,A,‡,,,2100
Sandwich Tern,,Thalasseus sandvicensis,AF,‡,,,2110
Elegant Tern,,Thalasseus elegans,A,†,,,2120
Royal Tern,,Thalasseus maximus,A,†,,,2130
Lesser Crested Tern,,Thalasseus bengalensis,A,†,,,2140
Forster's Tern,,Sterna forsteri,A,†,,,2150
Arctic Tern,,Sterna paradisaea,A,,,,2160
Common Tern,,Sterna hirundo,AF,,,,2170
Roseate Tern,,Sterna dougallii,A,,,,2180
Little Gull,,Hydrocoloeus minutus,AF,,,,2190
Ross's Gull,,Rhodostethia rosea,A,†,,,2200
Kittiwake,Black-legged Kittiwake,Rissa tridactyla,AF,,,,2210
Sabine's Gull,,Xema sabini,A,,,,2220
Ivory Gull,,Pagophila eburnea,A,†,,,2230
Slender-billed Gull,,Chroicocephalus genei,A,†,,,2240
Bonaparte's Gull,,Chroicocephalus philadelphia,A,†,,,2250
Black-headed Gull,,Chroicocephalus ridibundus,AF,,,,2260
Laughing Gull,,Leucophaeus atricilla,A,†,,,2270
Franklin's Gull,,Leucophaeus pipixcan,A,†,,,2280
Great Black-headed Gull,Pallas's Gull,Ichthyaetus ichthyaetus,B,†,,,2290
Audouin's Gull,,Ichthyaetus audouinii,A,†,,,2300
Mediterranean Gull,,Ichthyaetus melanocephalus,A,,,,2310
Ring-billed Gull,,Larus delawarensis,A,,,,2320
Common Gull,,Larus canus,AF,,,,2330
Caspian Gull,,Larus cachinnans,A,,,,2340
Kelp Gull,,Larus dominicanus,A,†,,,2350
American Herring Gull,,Larus smithsonianus,A,†,,,2360
Herring Gull,European Herring Gull,Larus argentatus,AF,,,,2370
Yellow-legged Gull,,Larus michahellis,A,‡,,,2380
Great Black-backed Gull,,Larus marinus,AF,,,,2390
Glaucous Gull,,Larus hyperboreus,AF,,,,2400
Lesser Black-backed Gull,,Larus fuscus,AF,‡,,,2410
Glaucous-winged Gull,,Larus glaucescens,A,†,,,2420
Slaty-backed Gull,,Larus schistisagus,A,†,,,2430
Iceland Gull,,Larus glaucoides,A,‡,,,2440
Red-billed Tropicbird,,Phaethon aethereus,AE,†,,,2450
Red-throated Diver,Red-throated Loon,Gavia stellata,AF,,,,2460
Great Northern Diver,Common Loon,Gavia immer,AF,,,,2470
White-billed Diver,Yellow-billed Loon,Gavia adamsii,A,,,,2480
Pacific Diver,Pacific Loon,Gavia pacifica,A,†,,,2490
Black-throated Diver,Black-throated Loon,Gavia arctica,AF,,,,2500
Atlantic Yellow-nosed Albatross,,Thalassarche chlororhynchos,A,†,,,2510
Black-browed Albatross,,Thalassarche melanophris,A,†,,,2520
Wilson's Storm-petrel,Wilson's Storm Petrel,Oceanites oceanicus,A,,,,2530
White-faced Storm-petrel,White-faced Storm Petrel,Pelagodroma marina,B,†,,,2540
European Storm-petrel,European Storm Petrel,Hydrobates pelagicus,AF,,,,2550
Band-rumped Storm-petrel,Band-rumped Storm Petrel,Hydrobates castro,A,†,,,2560
