common_name,status
Long-tailed Tit,Green
Common Swift,Red
Common Buzzard,Green
European Goldfinch,Green
Wood Pigeon,Green
Carrion Crow,Green
Blue Tit,Green
European Robin,Green
Eurasian Kestrel,Amber
Common Chaffinch,Red
Barn Swallow,Green
Herring Gull,Red
Great Tit,Green
House Sparrow,Red
Eurasian Magpie,Green
Dunnock,Amber
Eurasian Nuthatch,Green
Common Starling,Red
Eurasian Wren,Green
Eurasian Blackbird,Green
